"";"sound_type";"del";"next_sacc_type";"sacc_dur_M";"sacc_dur_SD";"sacc_peak_M";"sacc_peak_SD";"sacc_vel_M";"sacc_vel_SD";"sacc_ampl_M";"sacc_ampl_SD"
"1";"DEV";0;"inter-word";23;5,45989036437479;243;70,4545283517118;127;25,4736659873894;3,03;1,09002548193166
"2";"DEV";0;"intra-word";17,7;7,33229595200024;179;68,8628304877834;96,6;30,36755845877;1,88;1,38005126103289
"3";"DEV";120;"inter-word";23,4;5,50835843026748;249;69,6041829792167;130;25,6512856044957;3,17;1,17695315046781
"4";"DEV";120;"intra-word";17,7;8,61528046527932;179;79,3942813930313;95,4;31,2439155363742;1,83;1,40479554033166
"5";"STD";0;"inter-word";22,9;5,24290034738234;239;68,8994250065612;126;25,4432506971121;3,05;1,11782208380088
"6";"STD";0;"intra-word";16,8;6,6978398127459;169;65,9354386118758;92,1;27,7715820406209;1,69;1,19196185887146
"7";"STD";120;"inter-word";22,8;5,33994840215122;240;66,1986990968912;127;24,0123032545046;3,03;1,02428423133585
"8";"STD";120;"intra-word";17,2;6,44035628117113;174;69,3065300739408;95,2;30,3375788284857;1,82;1,30662626069368
